transactionId,accountId,amount,transactionType,timestamp,hour_of_day,day_of_week,account_age_days,user_transaction_count,transaction_velocity,amount_deviation,is_weekend,is_night_transaction,high_amount_flag,new_account_flag,is_fraud
1,user_0,2368.6,DEPOSIT,2025-11-14T13:50:11.123742,13,4,447,1965,2,0.237,0,0,0,0,0
2,user_0,4600.62,DEPOSIT,2026-02-24T10:42:11.123742,10,1,447,1965,1,0.46,0,0,0,0,0
3,user_0,5544.09,DEPOSIT,2025-09-26T19:54:11.123742,19,4,447,1965,3,0.554,0,0,0,0,1
4,user_0,11145.27,DEPOSIT,2025-12-18T23:11:11.123742,23,3,447,1965,2,1.115,0,0,0,0,0
5,user_0,9900.03,DEPOSIT,2025-12-26T06:06:11.123742,6,4,447,1965,2,0.99,0,0,0,0,0
6,user_0,3238.34,DEPOSIT,2026-01-29T06:20:11.123742,6,3,447,1965,2,0.324,0,0,0,0,0
7,user_0,9993.24,WITHDRAW,2026-02-25T09:41:11.123742,9,2,447,1965,2,0.999,0,0,0,0,0
8,user_0,4454.48,TRANSFER,2026-06-20T22:25:11.123742,22,5,447,1965,3,0.445,1,0,0,0,0
9,user_0,18085.53,DEPOSIT,2025-12-14T15:32:11.123742,15,6,447,1965,3,1.809,1,0,0,0,0
10,user_0,16943.94,WITHDRAW,2025-11-26T06:07:11.123742,6,2,447,1965,2,1.694,0,0,0,0,0
11,user_0,7968.48,DEPOSIT,2026-01-26T20:18:11.123742,20,0,447,1965,2,0.797,0,0,0,0,0
12,user_0,12775.38,DEPOSIT,2025-10-17T20:31:11.123742,20,4,447,1965,1,1.278,0,0,0,0,0
13,user_0,6763.54,DEPOSIT,2026-06-04T05:05:11.123742,5,3,447,1965,0,0.676,0,0,0,0,0
14,user_0,11886.79,DEPOSIT,2025-11-20T00:11:11.123742,0,3,447,1965,0,1.189,0,1,0,0,0
15,user_0,2605.69,WITHDRAW,2025-12-05T21:34:11.123742,21,4,447,1965,1,0.261,0,0,0,0,0
16,user_0,9513.01,DEPOSIT,2026-05-17T13:03:11.123742,13,6,447,1965,0,0.951,1,0,0,0,0
17,user_0,2762.72,WITHDRAW,2025-10-08T08:43:11.123742,8,2,447,1965,1,0.276,0,0,0,0,0
18,user_0,15872.28,DEPOSIT,2025-08-13T15:57:11.123742,15,2,447,1965,1,1.587,0,0,0,0,0
19,user_1,5713.91,TRANSFER,2025-12-12T21:13:11.123742,21,4,2194,2576,1,2.286,0,0,0,0,0
20,user_1,3806.38,TRANSFER,2025-07-22T16:58:11.123742,16,1,2194,2576,0,1.523,0,0,0,0,0
21,user_1,6642.9,DEPOSIT,2025-11-04T08:01:11.123742,8,1,2194,2576,1,2.657,0,0,0,0,0
22,user_1,5886.97,WITHDRAW,2026-04-29T08:13:11.123742,8,2,2194,2576,3,2.355,0,0,0,0,1
23,user_1,89.56,WITHDRAW,2026-05-20T15:35:11.123742,15,2,2194,2576,2,0.036,0,0,0,0,0
